a	ei	第一个字母 A; 一个; 第一的\nart. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步	5	5
a-road	'ei'rәjd	<英>A级公路,主车道	1	0
aa	ɔ:	[计] 绝对地址, 农业自动化, 自动应答 [医] 各, 各个	0	0
aah	ɑ:	abbr. [军] Armored Artillery Howitzer, 装甲榴弹炮\nabbr. [军] Advanced Attack Helicopter, 先进攻击直升机	0	27720
aargh	ɑ:	啊	0	0
aaron	'eәrәn	n. 亚伦（男子名）；[圣经]亚伦（摩西之兄, 犹太教的第一祭司长）	0	0
ababa		n. (Ababa)人名；(塞)阿巴巴	0	0
aback	ә'bæk	adv. 向后, 朝后, 突然, 船顶风地	1	12786
abandon	ә'bændәn	vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵\nn. 放任, 无拘束, 狂热	3	2182
abandoned	ә'bændәnd	a. 被抛弃的, 无约束的, 恣意放荡的	3	6184
abandonment	ә'bændәmәnt	n. 放弃, 抛弃, 放纵 [经] 委付, 废弃, 放弃(采矿权)	0	9919
abate	ә'beit	vt. 减少, 减轻, 减弱, 废除, 打折扣\nvi. 减轻, 减弱, 减少, 失效, 被废除	1	13243
abatement	ә'beitmәnt	n. 减少, 减轻, 缓和, 折扣, 撤消, 中止 [化] 废料; 失效	0	16332
abbey	'æbi	n. 大修道院	2	17783
abbot	'æbәt	n. 男修道院院长, 大寺院男住持	0	21439
abbott	'æbət	n. 阿尔伯特（人名）；雅培（公司名）	0	0
abbreviated		[计] 缩写的, 短缩的, 简写的, 简略的, 缩略的 [医] 减短的, 缩减的, 省略的	0	18452
abbreviation	ә.bri:vi'eiʃәn	n. 缩写词, 缩写, 缩短, 节略	0	20008
abc	'eibi:'si:	预定章程, 美国广播公司, 澳大利亚广播公司, 字母表, 基础知识 [计] 记帐预算计价系统, 通用插件板计算机, 美国广播公司, 自动编码系统	2	0
abdicate	'æbdikeit	vt. 正式放弃\nvi. 退位, 退出, 辞职	0	19114
abdication	.æbdi'keiʃәn	n. 逊位, 弃权, 辞职	0	23972
abdomen	'æbdәmen	n. 腹部 [医] 腹[部]	1	9711
abdominal	æb'dɒminәl	a. 腹部的, 有腹鳍的 [医] 腹[部]的	0	10520
abduct	æb'dʌkt	vt. 诱拐, 绑架, 使外展 [医] 外展, 展	1	11439
abduction	æb'dʌkʃәn	n. 诱拐, 绑架, 外展 [医] 外展, 展	0	11033
abdul		n. 阿卜杜勒（人名）	0	0
abdullah	,æb'dʌlə	n. 阿布杜拉（人名）	0	0
abel	'eibәl	n. 亚伯（亚当和夏娃的次子）；艾贝尔（男子名）	0	0
aberdeen	,æbә'di:n	n. 亚伯丁（英国苏格兰一郡 ）；苏格兰粗毛猎狐狗（等于Aberdeenterrier）	0	0
aberration	æbә'reiʃәn	n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差 [化] 光行差; 像差	1	12462
aberystwyth	,æbə'ristwiθ	n. 阿伯里斯特威斯（英国威尔士西部自治市）	0	0
abet	ә'bet	vt. 教唆, 煽动, 怂恿, 帮助, 支持	0	15345
abeyance	ә'beiәns	n. 中止, 暂搁, 停止, 归属待定 [化] 潜态	0	29581
abhor	әb'hɒ:	vt. 憎恶, 痛恨, 回避, 拒绝	0	16665
abide	ә'baid	vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于	1	8457
abiding	ә'baidiŋ	a. 永久的, 持久的, 不变的	1	15604
ability	ә'biliti	n. 能力, 才干 [经] 能力, 才能	4	783
abingdon	'æbiŋdən	n. 阿宾顿（位于泰晤士河畔的一个古老集镇）	0	0
abject	'æbdʒekt	a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的 [法] 卑鄙的, 卑下的, 可怜的	1	16479
ablaze	ә'bleiz	a. 着火的, 闪亮的, 激昂的\nadv. 着火, 闪耀	1	16903
able	'eibl	a. 能干的, 能够的	5	385
ably	'eibli	adv. 能干地, 精明强干地	0	21469
abnormal	æb'nɒ:mәl	a. 反常的, 不规则的, 变态的, 畸形的\nn. 畸形的人	1	8241
abnormality	.æbnɒ:'mæliti	n. 反常, 畸形, 变态 [化] 反常; 非正态性	1	11416
abnormally		adv. 不正常, 异常, (贬)不同寻常, 不规则, 变态, 反常	0	18892
aboard	ә'bɒ:d	adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上	2	4984
abode	ә'bәud	n. 住所, 住处 abide的过去式和过去分词	0	19221
abolish	ә'bɒliʃ	vt. 废止, 革除, 消灭 [经] 废除, 取消, 裁撤	2	7490
abolition	.æbәu'liʃәn	n. 废除, 废奴运动 [医] 禁止, 消失	0	13737
abolitionist	.æbәu'liʃәnist	n. 废除主义者, 废奴主义者	0	17150
abomination	ә.bɒmi'neiʃәn	n. 厌恶, 痛恶, 令人厌恶的事物	0	19107
aboriginal	.æbә'ridʒәnәl	a. 原始的, 土著的\nn. 土著居民, 土生生物	1	10042
abort	ә'bɒ:t	vi. 流产, 中途失败\nvt. 使流产, 使失败, 使中止	1	12402
aborted	ә'bɒ:tid	a. 流产的, 中途失败的	0	19690
abortion	ә'bɒ:ʃәn	n. 流产, 堕胎, 失败, 夭折, 中止 [医] 流产, 小产; 顿挫	3	1969
abortive	ә'bɒ:tiv	a. 流产的, 堕胎的, 失败的 [医] 流产的; 顿挫的	1	22876
abound	ә'baund	vi. 大量存在, 富于, 充满	1	7676
about	ә'baut	prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围	5	46
above	ә'bʌv	prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的	4	893
abraham	'eibrәhæm, -hәm	n. 亚伯拉罕（男子名）	0	0
abrasion	ә'breiʒәn	n. 磨擦, 磨损, 磨损处 [化] 磨耗; 磨蚀	0	18254
